,actual_price,predicted_price,prob_hit110%,threshould,bool_hit
2024-1-30,3.798774003982544,4.868746269050684,0.813,4.0969174146652225,FALSE
2024-2-28,4.058836936950684,3.6488656443524174,0.244,4.158217906951904,FALSE
2024-3-27,4.086700439453125,4.121370166950897,0.47,4.1786514043807985,FALSE
2024-4-29,4.337475299835205,5.906277621532444,0.939,4.464720630645752,FALSE
2024-5-30,4.662553787231445,4.7250548300500075,0.59,4.495370483398438,TRUE
2024-6-27,4.588250637054443,3.8073274170324862,0.142,4.771222829818726,FALSE
2024-7-30,4.689116954803467,4.26623866568902,0.167,5.12880916595459,FALSE
2024-8-29,5.134777069091797,4.908310035609932,0.412,5.047075700759888,TRUE
2024-9-27,4.860000133514404,4.358839498866221,0.206,5.158028650283814,FALSE
2024-10-30,4.360000133514404,4.245789467519735,0.065,5.648254776000977,FALSE
2024-11-28,4.170000076293945,4.763096052015633,0.272,5.346000146865845,FALSE
2024-12-30,,4.7012703740577555,0.459,4.796000146865845,
2025-1-30,,4.132973367306066,0.279,4.58700008392334,
